padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Parkinson,incrementos_total,1.446320154572762,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Quintana_Roo_general_20260218.pkl,Quintana Roo
Parkinson,incrementos_hombres,1.4968606459875449,multiplicative,0.05,0.1,regional,Prophet_Parkinson_San_Luis_Potosi_hombres_20260218.pkl,San Luis Potosí
Parkinson,incrementos_mujeres,1.4107361367829028,multiplicative,0.1,0.1,regional,Prophet_Parkinson_San_Luis_Potosi_mujeres_20260218.pkl,San Luis Potosí
Parkinson,incrementos_total,2.2755895920525946,multiplicative,0.05,0.1,regional,Prophet_Parkinson_San_Luis_Potosi_general_20260218.pkl,San Luis Potosí
Parkinson,incrementos_hombres,2.243741933128021,additive,0.01,0.1,regional,Prophet_Parkinson_Sinaloa_hombres_20260218.pkl,Sinaloa
Parkinson,incrementos_mujeres,2.646313749298063,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Sinaloa_mujeres_20260218.pkl,Sinaloa
Parkinson,incrementos_total,4.119124597857709,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Sinaloa_general_20260218.pkl,Sinaloa
Parkinson,incrementos_hombres,1.537066020353726,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Sonora_hombres_20260218.pkl,Sonora
Parkinson,incrementos_mujeres,1.2498673674185663,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Sonora_mujeres_20260218.pkl,Sonora
Parkinson,incrementos_total,1.9250519397586343,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Sonora_general_20260218.pkl,Sonora
Parkinson,incrementos_hombres,1.7977138490743418,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Tabasco_hombres_20260218.pkl,Tabasco
Parkinson,incrementos_mujeres,1.4393494046878428,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Tabasco_mujeres_20260218.pkl,Tabasco
Parkinson,incrementos_total,2.742341785204883,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Tabasco_general_20260218.pkl,Tabasco
Parkinson,incrementos_hombres,2.295152123748109,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Tamaulipas_hombres_20260218.pkl,Tamaulipas
Parkinson,incrementos_mujeres,3.967720444648224,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Tamaulipas_mujeres_20260218.pkl,Tamaulipas
Parkinson,incrementos_total,5.035472697039162,multiplicative,0.05,0.1,regional,Prophet_Parkinson_Tamaulipas_general_20260218.pkl,Tamaulipas
Parkinson,incrementos_hombres,0.811545837189715,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Tlaxcala_hombres_20260218.pkl,Tlaxcala
Parkinson,incrementos_mujeres,0.9578472347434959,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Tlaxcala_mujeres_20260218.pkl,Tlaxcala
Parkinson,incrementos_total,1.4113463474380374,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Tlaxcala_general_20260218.pkl,Tlaxcala
Parkinson,incrementos_hombres,3.0278203677214575,additive,0.01,5.0,regional,Prophet_Parkinson_Veracruz_hombres_20260218.pkl,Veracruz
Parkinson,incrementos_mujeres,2.990035905241334,additive,0.01,0.1,regional,Prophet_Parkinson_Veracruz_mujeres_20260218.pkl,Veracruz
Parkinson,incrementos_total,4.569816116823411,additive,0.01,5.0,regional,Prophet_Parkinson_Veracruz_general_20260218.pkl,Veracruz
Parkinson,incrementos_hombres,1.5433206128993402,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Yucatan_hombres_20260218.pkl,Yucatán
Parkinson,incrementos_mujeres,1.503579929456056,multiplicative,0.1,5.0,regional,Prophet_Parkinson_Yucatan_mujeres_20260218.pkl,Yucatán
Parkinson,incrementos_total,2.5438762307297105,multiplicative,0.05,5.0,regional,Prophet_Parkinson_Yucatan_general_20260218.pkl,Yucatán
Parkinson,incrementos_hombres,0.6429713805597298,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Zacatecas_hombres_20260218.pkl,Zacatecas
Parkinson,incrementos_mujeres,0.533745905392324,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Zacatecas_mujeres_20260218.pkl,Zacatecas
Parkinson,incrementos_total,0.9183861459999956,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Zacatecas_general_20260218.pkl,Zacatecas
