padecimiento,entidad,sexo,motor_productivo,criterio_seleccion,motores_evaluados,smape_prophet,mase_prophet,smape_ensemble,mase_ensemble,smape_stacking,mase_stacking
Obesidad,Querétaro,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.924947412522037,0.8741676201714514,30.323446767667427,1.210936061376723,28.571874114120643,1.152441754704819
Obesidad,Querétaro,hombres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",31.761949421150323,0.9170099910148568,31.676831017109578,1.1643491220174156,35.64569827782319,1.2813978723656851
Obesidad,Querétaro,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",29.013491213339364,0.8787480971016018,26.864285853500935,1.0796711494829432,23.883478231657357,0.9772824493335228
Obesidad,Quintana Roo,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.119649823916273,0.9427693855417354,42.812801853940066,1.4073300273372755,44.945654263253495,1.4528739117391647
Obesidad,Quintana Roo,hombres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",28.171520421285926,0.9976001122458792,37.27325251863762,1.2868898963808777,52.09939144156191,1.667727395107223
Obesidad,Quintana Roo,mujeres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.003662248237532,0.8818160179068371,29.601656517948925,0.9944720518406984,38.40692855632317,1.219563100533283
Obesidad,San Luis Potosí,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.46406311733805,1.0122612761987366,28.02383952031479,0.5791505178710992,20.78536924949066,0.390624170247822
Obesidad,San Luis Potosí,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",36.85858904760497,1.0432598560765365,30.945287472240775,0.6511982047245306,48.89348081719576,0.810541436314428
Obesidad,San Luis Potosí,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.3759153593277,0.9714977575101976,24.452193765978205,0.4592875577959748,21.045760455758177,0.3717690015361329
Obesidad,Sinaloa,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",25.93178437769768,0.6623653678888122,14.208637437489005,0.4167069814058523,17.084209799300694,0.49577936656277
Obesidad,Sinaloa,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.454947922497645,0.6860180828638516,14.700969939511449,0.370644825291092,18.096833528441397,0.4358159929862182
Obesidad,Sinaloa,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.303245078523883,0.6970626264485463,15.764304966722758,0.4778499540865881,22.271404892794372,0.6577623626476616
Obesidad,Sonora,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",29.858356595984542,0.7734366822633785,29.643087670681016,0.916005373362584,20.027938477644504,0.6560398439849241
Obesidad,Sonora,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",32.289346689709845,0.744352346230414,24.844813827355132,0.7465958274320242,28.028462409962714,0.779383173536326
Obesidad,Sonora,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",28.482489769560257,0.7622187930174086,28.254486325246216,0.9173240771232362,19.589690161880355,0.6572787953646172
