padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Alzheimer,incrementos_mujeres,0.04422957582703368,0.038078623675837364,999.0,0.9804439116125737,False,multiplicative,0.01,0.1,regional,normal,0.59,18.8,0.9,19.7,1832650,True,Prophet_Alzheimer_Durango_mujeres.pkl,,Durango
Alzheimer,incrementos_total,0.058123609881025814,0.045277227428014,999.0,0.7662328654099279,False,multiplicative,0.01,0.05,regional,normal,0.98,19.1,0.7,19.8,1832650,True,Prophet_Alzheimer_Durango_general.pkl,,Durango
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.38,0.0,0.8,0.8,6166934,True,Prophet_Alzheimer_Guanajuato_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Guanajuato
Alzheimer,incrementos_mujeres,0.012958856550058854,0.010712745457421005,999.0,0.7936051444456483,False,multiplicative,0.03,0.05,regional,normal,0.61,18.1,0.8,18.9,6166934,True,Prophet_Alzheimer_Guanajuato_mujeres.pkl,,Guanajuato
Alzheimer,incrementos_total,0.016242785007533424,0.011943394696557206,999.0,0.6315717887674533,False,multiplicative,0.01,0.05,regional,normal,0.99,18.9,0.8,19.7,6166934,True,Prophet_Alzheimer_Guanajuato_general.pkl,,Guanajuato
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.28,0.0,0.7,0.7,3540685,True,Prophet_Alzheimer_Guerrero_hombres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_hombres.pkl,Guerrero
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.39,0.0,0.8,0.8,3540685,True,Prophet_Alzheimer_Guerrero_mujeres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_mujeres.pkl,Guerrero
Alzheimer,incrementos_total,0.023471980450240626,0.01906220418517892,999.0,0.786373739124303,False,multiplicative,0.01,0.5,regional,normal,0.67,18.2,0.8,19.0,3540685,True,Prophet_Alzheimer_Guerrero_general.pkl,,Guerrero
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.27,0.0,0.7,0.7,3082841,True,Prophet_Alzheimer_Hidalgo_hombres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_hombres.pkl,Hidalgo
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.37,0.0,0.7,0.7,3082841,True,Prophet_Alzheimer_Hidalgo_mujeres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_mujeres.pkl,Hidalgo
