numero,padecimiento,entidad,sexo,prophet_rmse,prophet_mae,prophet_smape,prophet_mase,deepar_rmse,deepar_mae,deepar_smape,deepar_mase,ensemble_rmse,ensemble_mae,ensemble_smape,ensemble_mase,stacking_rmse,stacking_mae,stacking_smape,stacking_mase,mejor_rmse,mejor_mae,mejor_smape,mejor_mase,victorias,modelo_produccion,justificacion
128,Depresión,Chiapas,mujeres,16.2109,12.7369,37.4822,1.2771,8.091,5.3024,10.7376,0.4885,20.3077,17.4077,35.6617,1.5878,19.8794,16.3298,29.1208,1.4895,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 8.09 (vs Prophet 16.21). Gana en 4/4 metricas. MASE=0.49 supera naive seasonal.
129,Depresión,Chiapas,general,20.1948,16.246,38.4424,1.3172,6.5198,4.405,6.3948,0.3265,26.1397,22.2866,35.5425,1.6376,16.8593,13.8288,20.2892,1.0161,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.52 (vs Stacking 16.86). Gana en 4/4 metricas. MASE=0.33 supera naive seasonal.
130,Depresión,Chihuahua,hombres,16.6762,14.2392,35.3043,0.7253,4.7154,2.1339,5.7554,0.1212,13.8317,10.5284,26.1298,0.5956,14.0686,10.7215,26.8851,0.6065,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.72 (vs Ensemble 13.83). Gana en 4/4 metricas. MASE=0.12 supera naive seasonal.
131,Depresión,Chihuahua,mujeres,40.6471,34.4023,31.4375,0.9527,5.8366,2.8759,2.9771,0.0844,34.1573,27.0315,26.1452,0.7894,25.6427,17.6578,16.3798,0.5157,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.84 (vs Stacking 25.64). Gana en 4/4 metricas. MASE=0.08 supera naive seasonal.
132,Depresión,Chihuahua,general,58.14,49.8392,32.4789,0.9305,10.1945,5.1175,3.7322,0.1038,37.651,27.4762,18.6225,0.5543,34.0392,22.3057,14.8628,0.45,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 10.19 (vs Stacking 34.04). Gana en 4/4 metricas. MASE=0.10 supera naive seasonal.
133,Depresión,Ciudad de México,hombres,26.084,19.5305,17.7049,0.7936,7.3983,3.313,2.6618,0.131,22.342,18.2355,14.4565,0.7212,21.5345,16.802,13.2624,0.6645,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 7.40 (vs Stacking 21.53). Gana en 4/4 metricas. MASE=0.13 supera naive seasonal.
134,Depresión,Ciudad de México,mujeres,61.9672,47.4669,16.7046,0.7064,21.8825,10.9516,3.2367,0.1612,51.2975,40.7952,12.2799,0.6004,84.3538,72.6224,23.2604,1.0688,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 21.88 (vs Ensemble 51.30). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
135,Depresión,Ciudad de México,general,83.483,63.1291,15.9541,0.7317,28.6901,14.0507,3.4817,0.1592,65.215,51.0672,11.1913,0.5785,117.2731,101.1973,23.6968,1.1465,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 28.69 (vs Ensemble 65.22). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
136,Depresión,Coahuila,hombres,8.4032,6.8769,47.4974,1.1931,0.7221,0.3061,2.1188,0.0475,6.7184,5.1409,32.8084,0.7944,6.9107,5.557,36.5062,0.8587,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.72 (vs Ensemble 6.72). Gana en 4/4 metricas. MASE=0.05 supera naive seasonal.
137,Depresión,Coahuila,mujeres,15.2768,12.6306,34.2173,0.8518,5.0511,2.553,7.7826,0.1714,12.697,10.0027,26.1848,0.669,13.2642,10.214,27.6627,0.6831,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.05 (vs Ensemble 12.70). Gana en 4/4 metricas. MASE=0.17 supera naive seasonal.
