entidad,modo,sem_min,sem_max,n_sem,oos_prophet,mase_prophet,oos_deepar,mase_deepar,oos_ensemble,mase_ensemble,oos_stacking,mase_stacking
Michoacán,mujeres,3,18,16,43.04114613830442,0.9328,40.64831637304644,0.8368,52.08939686084959,1.2,61.62428948142842,1.5648
Morelos,general,3,18,16,18.847286609155688,1.2635135135135136,15.871403408996043,1.0743243243243243,20.00199721965687,1.3783783783783783,20.311841303240595,1.4054054054054055
Morelos,hombres,3,18,16,23.708148963067217,0.6,34.46665968220361,0.8777777777777778,25.218657024113455,0.6333333333333333,25.294340726487825,0.6333333333333333
Morelos,mujeres,3,18,16,19.231298312083474,1.7294117647058824,17.047071232215846,1.6,16.891861979173694,1.5058823529411764,20.337436083940684,1.8941176470588235
México,general,3,18,16,14.717478920382224,0.6823204419889503,18.16845956820788,0.8204419889502762,11.418229991244052,0.5138121546961326,37.69413474950551,1.4654696132596685
México,hombres,3,18,16,19.066769119956707,0.5145631067961165,23.51768695919451,0.6537216828478964,52.6100216446333,1.132686084142395,25.575248995496963,0.6343042071197411
México,mujeres,3,18,16,14.545964016366675,0.7016574585635359,42.133767116765675,1.5451197053406998,15.519068607089048,0.7440147329650092,25.939646713913394,1.1141804788213627
Nacional,general,3,18,16,8.36301421534035,0.7792876261066501,10.82927831623623,1.0306773728639078,7.276238094048174,0.6757257566399012,16.262220838080093,1.443277743463043
Nacional,hombres,3,18,16,7.7691187595767435,0.6372299872935197,7.949269061907298,0.6537484116899619,9.689236562906004,0.7909783989834815,43.57363831484126,3.0050825921219824
Nacional,mujeres,3,18,16,8.114762195423452,0.6369116624159518,11.171198777739974,0.8956642708091815,8.112901146926868,0.6443310920472989,8.94966136501254,0.7129608161372595
Nayarit,general,3,18,16,27.98433695802708,0.7934272300469484,32.53906551089866,0.8615023474178404,42.3161771102068,1.1032863849765258,45.33334458840912,1.15962441314554
Nayarit,hombres,3,18,16,27.363127833025892,0.8571428571428571,28.61446729893169,0.873015873015873,37.96812715270177,1.1428571428571428,31.431208290902994,0.9841269841269841
Nayarit,mujeres,3,18,16,29.364916906441728,0.7660256410256411,22.29734451889437,0.5448717948717948,49.829015870633775,1.1506410256410255,50.443790322195085,1.1570512820512822
Nuevo León,general,3,18,16,35.2089288879491,0.7773049645390071,30.290423335412918,0.6156028368794326,26.711353407344152,0.548936170212766,33.60526885225794,0.724822695035461
Nuevo León,hombres,3,18,16,30.37768446768166,0.7379679144385026,26.70277220601114,0.6149732620320856,28.352669603519203,0.679144385026738,28.71007847766473,0.6898395721925134
Nuevo León,mujeres,3,18,16,30.060142201623474,0.7024291497975709,36.116659072439425,0.6518218623481782,27.917883677666566,0.645748987854251,27.76969011745522,0.6417004048582996
Oaxaca,general,3,18,16,29.242280595266834,0.7401129943502824,20.282548196215497,0.5451977401129944,33.02745009407199,0.827683615819209,33.188290093299486,0.827683615819209
Oaxaca,hombres,3,18,16,50.78792492717046,0.8232758620689655,27.78431217726763,0.5172413793103449,83.74307313984032,1.1594827586206897,57.53800104744713,0.9008620689655172
Oaxaca,mujeres,3,18,16,22.764101734573572,0.7344632768361582,36.4911687977049,1.0056497175141244,21.01137153411285,0.6892655367231638,27.631601209116695,0.864406779661017
Puebla,general,3,18,16,36.70669891502991,2.341317365269461,43.17453714344401,3.1197604790419162,52.64082353824011,3.7784431137724552,58.31141902444668,4.359281437125748
Puebla,hombres,3,18,16,35.250213907940854,0.9008264462809917,52.4791420935669,1.8099173553719008,43.01421840566832,1.1983471074380165,39.92057846381236,1.0743801652892562
Puebla,mujeres,3,18,16,39.438629421269546,0.9929078014184397,53.40771199394106,1.673758865248227,51.667594475761724,1.4680851063829787,60.8865825298764,1.872340425531915
Querétaro,general,3,18,16,23.757663678461277,0.625,31.990869582962173,0.7960526315789473,27.706663120673547,0.7171052631578947,25.25550602214946,0.6973684210526315
Querétaro,hombres,3,18,16,44.11491286491286,0.7254901960784313,49.199689199689196,0.7058823529411765,60.581501831501825,0.9803921568627451,42.100260850260845,0.7058823529411765
Querétaro,mujeres,3,18,16,20.047143816090653,0.49206349206349204,27.18497976653076,0.6111111111111112,23.830373635252293,0.5714285714285714,24.583447891560848,0.6349206349206349
Quintana Roo,general,3,18,16,34.51001898074245,1.1812080536912752,29.54679722095256,0.9194630872483222,28.076800618567997,0.912751677852349,31.545108006272248,1.0469798657718121
Quintana Roo,hombres,3,18,16,30.600875839846424,0.7,38.080087804352516,0.8,33.035593233735646,0.75,37.974909166565176,0.9166666666666666
Quintana Roo,mujeres,3,18,16,33.09256891419623,0.967479674796748,26.046123965320216,0.7235772357723578,33.04734363504066,0.959349593495935,31.4522518149552,0.9024390243902439
Region Metropolitana alta,general,3,18,16,7.523334115654583,0.45487627365356625,7.843304672967244,0.48580786026200873,11.858975739772982,0.7179767103347889,26.650980657196545,1.4858078602620088
Region Metropolitana alta,hombres,3,18,16,8.754576864785333,0.5213776722090261,20.649497883414973,1.1057007125890737,15.949706327123431,0.9192399049881235,33.476952076875655,1.7517814726840855
Region Metropolitana alta,mujeres,3,18,16,10.711307965802133,0.5903342366757001,7.803726545130477,0.4480578139114724,14.27198021203402,0.7922312556458898,19.514166176598287,1.051490514905149
Region Rural / dispersa,general,3,18,16,19.06407905019866,1.0943526170798898,21.634322565523462,1.2575757575757576,17.884203620629858,1.0117079889807163,14.210718210561494,0.7830578512396694
Region Rural / dispersa,hombres,3,18,16,17.702952464076528,1.050131926121372,16.193955093616385,0.9604221635883905,15.448280861283317,0.9076517150395779,15.71662235741839,0.9261213720316622
Region Rural / dispersa,mujeres,3,18,16,15.44602699478182,0.8602430555555556,17.15620525287139,0.9539930555555556,15.05723352861404,0.8307291666666666,15.37127610605812,0.8550347222222222
Region Sur-Sureste vulnerable,general,3,18,16,14.62020730289362,1.1283422459893049,12.229082554303645,0.9024064171122995,11.651251635375795,0.8596256684491979,13.63487246325488,1.0588235294117647
Region Sur-Sureste vulnerable,hombres,3,18,16,16.88155821504932,0.9400630914826499,20.413666316823388,1.0630914826498423,20.495826961860026,1.0757097791798107,12.418586331588315,0.6908517350157729
Region Sur-Sureste vulnerable,mujeres,3,18,16,19.412583931468046,1.1302083333333333,17.572888367593187,1.0338541666666667,14.992853410356227,0.8671875,15.802181130737864,0.9283854166666666
Region Urbana media,general,3,18,16,10.622859675607934,0.8701436934539649,9.738280657367548,0.8084087280468334,8.47292754935203,0.6881319850984566,12.182283924346688,0.9819052687599787
Region Urbana media,hombres,3,18,16,10.060578687626583,0.7601476014760148,11.869120786672326,0.8874538745387454,9.654796579462136,0.7287822878228782,17.497455939436353,1.2730627306273063
Region Urbana media,mujeres,3,18,16,9.639825677806739,0.8178493050475494,9.419033015823192,0.8068763716166789,8.812942889223216,0.7512801755669349,8.245196781733094,0.6986100950987564
San Luis Potosí,general,3,18,16,28.461138975894496,0.6908077994428969,26.995829142795834,0.6434540389972145,34.45052928730631,0.8495821727019499,47.499068014478226,1.256267409470752
San Luis Potosí,hombres,3,18,16,34.31838712562855,0.5725190839694656,39.53551241786536,0.6717557251908397,38.28080200491035,0.6412213740458015,45.350538291487176,0.7786259541984732
San Luis Potosí,mujeres,3,18,16,28.81976745082725,0.7,27.37915066640195,0.6192307692307693,32.44849912841359,0.7961538461538461,48.419519498152475,1.3269230769230769
Sinaloa,general,3,18,16,24.731812857057434,1.1305841924398625,24.299219690157955,1.127147766323024,29.28939274525867,1.4261168384879725,38.93453307564233,2.0721649484536084
Sinaloa,hombres,3,18,16,26.777794122872955,0.7669172932330827,32.377876092299324,0.9774436090225563,32.90246232107972,0.9924812030075187,52.13692753270982,1.8270676691729324
Sinaloa,mujeres,3,18,16,20.283797403927,0.9710144927536232,17.202052250560897,0.855072463768116,21.060570250915884,1.038647342995169,28.75279507259938,1.536231884057971
Sonora,general,3,18,16,20.721534321310838,1.067357512953368,15.20117819369421,0.7772020725388601,15.804864166713767,0.8082901554404145,16.230867617987933,0.8238341968911918
Sonora,hombres,3,18,16,17.571411492255667,0.4838709677419355,26.72188143148395,0.7096774193548387,26.540654141948334,0.7741935483870968,33.22141171504187,1.021505376344086
Sonora,mujeres,3,18,16,19.514188795185746,0.8713450292397661,25.11490184857538,1.1345029239766082,17.01060904730286,0.7426900584795322,16.33984875481093,0.7192982456140351
Tabasco,general,3,18,16,57.138381152566474,1.2573529411764706,42.79023436970005,0.8584558823529411,45.19772707587161,0.8860294117647058,54.450660086226534,1.1525735294117647
Tabasco,hombres,3,18,16,73.23283789813162,1.0415094339622641,75.24240856441193,1.1924528301886792,84.93273087832897,1.2981132075471697,77.5236488431705,1.109433962264151
Tabasco,mujeres,3,18,16,56.63943333786794,1.356923076923077,43.730018460376684,0.9569230769230769,42.827988098527854,0.8523076923076923,59.11298929227584,1.4215384615384616
Tamaulipas,general,3,18,16,21.83062321551617,0.6525974025974026,30.004450032402975,0.987012987012987,26.792379130529433,0.827922077922078,31.09915536126505,0.9967532467532467
Tamaulipas,hombres,3,18,16,33.31602684491045,0.5625,41.95412287402497,0.7638888888888888,40.384570623694884,0.7222222222222222,38.752967952286745,0.6666666666666666
Tamaulipas,mujeres,3,18,16,17.48114615949394,0.6458333333333334,19.7086976393472,0.75,22.43603669169387,0.859375,27.48885741094917,1.09375
Tlaxcala,general,3,18,16,39.02495214421594,0.8304093567251462,31.584155577468074,0.6783625730994152,37.321428672427366,0.7660818713450293,57.16710672878694,1.391812865497076
Tlaxcala,hombres,3,18,16,65.73426573426573,0.765625,66.92703946380418,0.8125,54.91668870345341,0.578125,60.878990290755,0.671875
Tlaxcala,mujeres,3,18,16,31.431630745242384,0.8899082568807339,38.96058355544943,0.8899082568807339,18.994189975565828,0.45871559633027525,46.95005306207247,1.4954128440366972
Veracruz,general,3,18,16,24.598349219971126,0.8402255639097744,22.72795953199821,0.7781954887218046,20.247084525273923,0.6691729323308271,16.98025777145911,0.5375939849624061
Veracruz,hombres,3,18,16,27.719867333688132,0.9124087591240876,27.29854279467278,0.8686131386861314,23.149235754063696,0.7226277372262774,23.27200977809162,0.708029197080292
Veracruz,mujeres,3,18,16,29.50416774237194,0.9838337182448037,23.928777223456752,0.7875288683602771,21.662264926633245,0.6674364896073903,17.574036807370113,0.5127020785219399
Yucatán,general,3,18,16,25.930942770910136,0.9389978213507625,37.2450373305363,1.2875816993464053,38.956872670317956,1.34640522875817,27.158544438405873,0.9869281045751634
Yucatán,hombres,3,18,16,36.1796797048191,1.0867052023121386,33.199911374385934,1.023121387283237,38.48934344243723,1.1445086705202312,38.24067525611766,1.1329479768786128
Yucatán,mujeres,3,18,16,29.871419966658387,0.9471544715447154,33.63110471656856,1.016260162601626,47.28183676957766,1.3231707317073171,35.196648693189935,1.0711382113821137
Zacatecas,general,3,18,16,22.556191293172077,0.6824324324324325,12.46013672108096,0.3885135135135135,21.05734859868492,0.6385135135135135,22.499840545874616,0.7263513513513513
Zacatecas,hombres,3,18,16,25.442842071027975,0.5555555555555556,34.31654637498691,0.7272727272727273,31.84143783918897,0.6666666666666666,19.973645100522187,0.4444444444444444
Zacatecas,mujeres,3,18,16,24.565070323420507,0.7272727272727273,17.399460669570736,0.5281385281385281,21.41046311182833,0.6493506493506493,25.13874188352267,0.7965367965367965
