entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Guanajuato,mujeres,False,20.208434818837386,deepar,20.208434818837386,deepar,28.62783684363147,stacking,20.208434818837386,deepar,20.208434818837386,deepar,32.778236735357915,prophet,20.208434818837386,deepar,34.62733430492321,ensemble,28.62783684363147,stacking
Guanajuato,general,False,12.399430625557379,deepar,12.399430625557379,deepar,29.009393978605463,stacking,12.399430625557379,deepar,12.399430625557379,deepar,33.87895984550351,prophet,12.399430625557379,deepar,34.56760046317305,ensemble,29.009393978605463,stacking
Guerrero,hombres,False,30.47200547152379,deepar,30.47200547152379,deepar,31.03388610680875,ensemble,30.47200547152379,deepar,30.47200547152379,deepar,32.14897828983051,prophet,30.47200547152379,deepar,31.03388610680875,ensemble,30.278508829593708,stacking
Guerrero,mujeres,False,24.374851116248227,deepar,24.374851116248227,deepar,24.36638501820293,prophet,24.374851116248227,deepar,24.374851116248227,deepar,24.36638501820293,prophet,24.374851116248227,deepar,39.08392773556113,ensemble,27.996090134455333,stacking
Guerrero,general,False,25.887691162732875,deepar,25.887691162732875,deepar,20.124605753349282,stacking,25.887691162732875,deepar,25.887691162732875,deepar,23.531522245635834,prophet,25.887691162732875,deepar,22.674445987955426,ensemble,20.124605753349282,stacking
Hidalgo,hombres,False,28.59213286716174,deepar,28.59213286716174,deepar,27.997824044863023,prophet,28.59213286716174,deepar,28.59213286716174,deepar,27.997824044863023,prophet,28.59213286716174,deepar,38.64442847951094,ensemble,41.99200866776768,stacking
Hidalgo,mujeres,False,22.068903970742344,deepar,22.068903970742344,deepar,22.759397505528074,stacking,22.068903970742344,deepar,22.068903970742344,deepar,19.889821125829997,prophet,22.068903970742344,deepar,23.663608710692507,ensemble,22.759397505528074,stacking
Hidalgo,general,False,21.635965417232267,deepar,21.635965417232267,deepar,19.27306928984531,ensemble,21.635965417232267,deepar,21.635965417232267,deepar,18.01642547031031,prophet,21.635965417232267,deepar,19.27306928984531,ensemble,18.865579933921094,stacking
Jalisco,hombres,False,22.432781756463203,deepar,22.432781756463203,deepar,21.102717036042794,prophet,22.432781756463203,deepar,22.432781756463203,deepar,21.102717036042794,prophet,22.432781756463203,deepar,27.788823327028545,ensemble,26.860791998872912,stacking
Jalisco,mujeres,False,20.438425892386157,deepar,20.438425892386157,deepar,14.803853366059974,prophet,20.438425892386157,deepar,20.438425892386157,deepar,14.803853366059974,prophet,20.438425892386157,deepar,10.65074723636219,ensemble,15.415937524612634,stacking
Jalisco,general,False,21.27627887074375,deepar,21.27627887074375,deepar,14.057797185181625,prophet,21.27627887074375,deepar,21.27627887074375,deepar,14.057797185181625,prophet,21.27627887074375,deepar,8.527912636626834,ensemble,17.445420311053034,stacking
Michoacán,hombres,False,39.36111318819463,deepar,39.36111318819463,deepar,49.298030003511066,ensemble,39.36111318819463,deepar,39.36111318819463,deepar,41.83996851482521,prophet,39.36111318819463,deepar,49.298030003511066,ensemble,67.93145804326076,stacking
Michoacán,mujeres,False,40.64831637304644,deepar,40.64831637304644,deepar,52.08939686084959,ensemble,40.64831637304644,deepar,40.64831637304644,deepar,43.04114613830442,prophet,40.64831637304644,deepar,52.08939686084959,ensemble,61.62428948142842,stacking
Michoacán,general,False,36.626416574829804,deepar,36.626416574829804,deepar,60.85116725319851,ensemble,36.626416574829804,deepar,36.626416574829804,deepar,56.279255357702276,prophet,36.626416574829804,deepar,60.85116725319851,ensemble,85.61886953827586,stacking
Morelos,hombres,False,34.46665968220361,deepar,34.46665968220361,deepar,25.218657024113455,ensemble,34.46665968220361,deepar,34.46665968220361,deepar,23.708148963067217,prophet,34.46665968220361,deepar,25.218657024113455,ensemble,25.294340726487825,stacking
Morelos,mujeres,False,17.047071232215846,deepar,17.047071232215846,deepar,20.337436083940684,stacking,17.047071232215846,deepar,17.047071232215846,deepar,19.231298312083474,prophet,17.047071232215846,deepar,16.891861979173694,ensemble,20.337436083940684,stacking
Morelos,general,False,15.871403408996043,deepar,15.871403408996043,deepar,20.311841303240595,stacking,15.871403408996043,deepar,15.871403408996043,deepar,18.847286609155688,prophet,15.871403408996043,deepar,20.00199721965687,ensemble,20.311841303240595,stacking
México,hombres,False,23.51768695919451,deepar,23.51768695919451,deepar,25.575248995496963,stacking,23.51768695919451,deepar,23.51768695919451,deepar,19.066769119956707,prophet,23.51768695919451,deepar,52.6100216446333,ensemble,25.575248995496963,stacking
México,mujeres,False,42.133767116765675,deepar,42.133767116765675,deepar,15.519068607089048,ensemble,42.133767116765675,deepar,42.133767116765675,deepar,14.545964016366675,prophet,42.133767116765675,deepar,15.519068607089048,ensemble,25.939646713913394,stacking
México,general,False,18.16845956820788,deepar,18.16845956820788,deepar,11.418229991244052,ensemble,18.16845956820788,deepar,18.16845956820788,deepar,14.717478920382224,prophet,18.16845956820788,deepar,11.418229991244052,ensemble,37.69413474950551,stacking
Nayarit,hombres,False,28.61446729893169,deepar,28.61446729893169,deepar,31.431208290902994,stacking,28.61446729893169,deepar,28.61446729893169,deepar,27.363127833025892,prophet,28.61446729893169,deepar,37.96812715270177,ensemble,31.431208290902994,stacking
