ds,entidad,padecimiento,meta_modo,yhat
2026-11-23,Morelos,Parkinson,general,2
2026-11-23,Morelos,Parkinson,hombres,2
2026-11-23,Morelos,Parkinson,mujeres,1
2026-11-30,Morelos,Parkinson,general,8
2026-11-30,Morelos,Parkinson,hombres,5
2026-11-30,Morelos,Parkinson,mujeres,3
2026-12-07,Morelos,Parkinson,general,4
2026-12-07,Morelos,Parkinson,hombres,2
2026-12-07,Morelos,Parkinson,mujeres,3
2026-12-14,Morelos,Parkinson,general,12
2026-12-14,Morelos,Parkinson,hombres,6
2026-12-14,Morelos,Parkinson,mujeres,3
2026-12-21,Morelos,Parkinson,general,4
2026-12-21,Morelos,Parkinson,hombres,2
2026-12-21,Morelos,Parkinson,mujeres,4
2026-12-28,Morelos,Parkinson,general,7
2026-12-28,Morelos,Parkinson,hombres,1
2026-12-28,Morelos,Parkinson,mujeres,4
2027-01-04,Morelos,Parkinson,general,4
2027-01-04,Morelos,Parkinson,hombres,4
2027-01-04,Morelos,Parkinson,mujeres,5
2027-01-11,Morelos,Parkinson,general,12
2027-01-11,Morelos,Parkinson,hombres,4
2027-01-11,Morelos,Parkinson,mujeres,6
2027-01-18,Morelos,Parkinson,general,12
2027-01-18,Morelos,Parkinson,hombres,0
2027-01-18,Morelos,Parkinson,mujeres,5
2027-01-25,Morelos,Parkinson,general,6
2027-01-25,Morelos,Parkinson,hombres,4
2027-01-25,Morelos,Parkinson,mujeres,4
2026-02-02,México,Parkinson,general,9
2026-02-02,México,Parkinson,hombres,4
2026-02-02,México,Parkinson,mujeres,4
2026-02-09,México,Parkinson,general,9
2026-02-09,México,Parkinson,hombres,4
2026-02-09,México,Parkinson,mujeres,3
2026-02-16,México,Parkinson,general,11
2026-02-16,México,Parkinson,hombres,4
2026-02-16,México,Parkinson,mujeres,5
2026-02-23,México,Parkinson,general,9
2026-02-23,México,Parkinson,hombres,2
2026-02-23,México,Parkinson,mujeres,5
2026-03-02,México,Parkinson,general,7
2026-03-02,México,Parkinson,hombres,5
2026-03-02,México,Parkinson,mujeres,2
2026-03-09,México,Parkinson,general,9
2026-03-09,México,Parkinson,hombres,4
2026-03-09,México,Parkinson,mujeres,4
2026-03-16,México,Parkinson,general,9
2026-03-16,México,Parkinson,hombres,4
2026-03-16,México,Parkinson,mujeres,5
2026-03-23,México,Parkinson,general,8
2026-03-23,México,Parkinson,hombres,5
2026-03-23,México,Parkinson,mujeres,2
2026-03-30,México,Parkinson,general,10
2026-03-30,México,Parkinson,hombres,3
2026-03-30,México,Parkinson,mujeres,4
2026-04-06,México,Parkinson,general,11
2026-04-06,México,Parkinson,hombres,7
2026-04-06,México,Parkinson,mujeres,7
2026-04-13,México,Parkinson,general,7
2026-04-13,México,Parkinson,hombres,3
2026-04-13,México,Parkinson,mujeres,3
2026-04-20,México,Parkinson,general,9
2026-04-20,México,Parkinson,hombres,3
2026-04-20,México,Parkinson,mujeres,4
2026-04-27,México,Parkinson,general,7
2026-04-27,México,Parkinson,hombres,7
2026-04-27,México,Parkinson,mujeres,7
