ds,y,yhat,yhat_lower,yhat_upper
2017-06-19,45.0,43.66592907888449,31.654355567021863,54.79502246911697
2017-06-26,48.0,44.84914333335171,33.32545649436721,56.31375354273462
2017-07-03,43.0,45.208720414917295,34.12651185929953,56.79841764069271
2017-07-10,42.0,43.9727081894402,32.55053044103901,55.17814665516875
2017-07-17,46.0,41.80362471585615,31.011040588967518,53.8465071748795
2017-07-24,33.0,40.5345786662115,29.46467814673631,51.62458065956588
2017-07-31,45.0,41.55758218260148,30.311429777240768,52.83970901933374
2017-08-07,46.0,44.33553488441304,33.28551560908105,55.35994995970925
2017-08-14,46.0,46.651144046425905,35.375063542769276,57.48737487464884
2017-08-21,57.0,46.55854656577005,35.13289524667392,57.59154960444896
2017-08-28,47.0,44.199528205796504,33.37694700099178,54.77249133363752
2017-09-04,41.0,41.67640443500015,31.309780228381303,52.15858307432949
2017-09-11,43.0,41.110681168774825,29.410304125558163,52.10099209952828
2017-09-18,37.0,42.82031049606181,31.623765995896616,54.17060129694113
2017-09-25,38.0,45.305601866977184,33.37832354878225,55.94425499783746
2017-10-02,55.0,46.79794627020964,34.656087046637246,58.206619535144114
2017-10-09,54.0,46.663614134187846,35.603653486736484,58.060386336206285
2017-10-16,43.0,45.44551674352874,34.28741501928233,57.06467656476538
2017-10-23,44.0,43.95917995798978,32.46162566522791,55.011193724367814
2017-10-30,35.0,42.66583073420391,32.30047508223316,53.915888390168504
2017-11-06,46.0,41.785673479165304,30.929596130308962,53.12621018880026
2017-11-13,50.0,41.49427631398535,30.092651264921443,52.67076489527674
2017-11-20,44.0,41.697977050659944,30.530430921215814,53.45001390600926
2017-11-27,40.0,41.61168202778699,30.312628059521927,52.998950919442564
2017-12-04,43.0,40.19317814035829,28.522963320844916,51.99618735774453
2017-12-11,42.0,37.29854940794202,25.297164571320177,48.04487108299137
2017-12-18,36.0,34.345557776759165,22.573960407196555,45.680889055868555
2017-12-25,40.0,33.434524145475436,22.374471696987573,45.14992101148889
2018-01-01,33.0,35.49670293428314,24.090716709601306,46.995988713496246
2018-01-08,33.0,39.2998483420488,27.624525023922374,50.45579676647753
2018-01-15,41.0,42.454836214394646,30.862114450744848,54.25207744528374
2018-01-22,51.0,43.529837022727655,31.56480197903394,54.83061276120373
2018-01-29,40.0,43.19448481219288,32.303091120637255,54.58342167182231
2018-02-05,42.0,43.306614721122926,31.70698819399892,54.733727284482256
2018-02-12,50.0,44.94990959987475,33.158523335569825,57.07014487749499
2018-02-19,43.0,47.396413541812315,36.80490851303023,58.2146527415456
2018-02-26,57.0,48.88462033259629,37.59885326111159,60.771708380977365
2018-03-05,47.0,48.26444979382825,37.432460096060694,59.57024447801324
2018-03-12,39.0,45.89210968228813,34.07630889364991,56.58318579392328
2018-03-19,41.0,43.13389294135924,32.40231246088334,53.749839893929035
2018-03-26,29.0,41.20869056712527,30.190065513285564,52.89936280749836
2018-04-02,38.0,40.465017194359014,29.5072217365067,52.272036702641145
2018-04-09,47.0,40.5542174821204,29.207341616304955,51.361130528456705
2018-04-16,41.0,40.95553821239046,30.00526124888029,52.70487706901701
2018-04-23,40.0,41.390763933846195,30.44961839077565,51.80341004466942
2018-04-30,40.0,41.850053077452564,30.42598795865312,52.505207357281044
2018-05-07,27.0,42.38126944305265,30.840577425528743,54.15032998944206
2018-05-14,50.0,42.88227666865671,31.879008807575712,54.6787006296196
2018-05-21,39.0,43.08754933149906,31.903022755521167,54.99559981374434
2018-05-28,34.0,42.81342414436957,32.314196131117214,54.096929217102954
2018-06-04,40.0,42.27759027809648,31.955157332405914,53.4871264624203
2018-06-11,39.0,42.09609054497359,30.976130227043434,53.237358943157844
2018-06-18,42.0,42.74867963093375,32.369824784954986,54.2066422619939
2018-06-25,46.0,43.91453618479037,32.59893997428228,55.102487443563206
2018-07-02,37.0,44.47607538194044,32.587229194072286,55.953025744309706
2018-07-09,48.0,43.49276054973398,33.08549495548752,54.36524590428017
2018-07-16,42.0,41.34248137214517,30.181046976318758,52.94755071382904
2018-07-23,31.0,39.74110836639076,28.257437697672074,50.51854301237537
2018-07-30,31.0,40.29812222251752,28.728299710749592,51.3463821120891
2018-08-06,50.0,42.86500619210565,31.482221692571457,54.60245607830561
2018-08-13,52.0,45.413481825670786,34.07911564918406,55.45362755442409
2018-08-20,51.0,45.77503233567926,34.794718831762474,56.9455482509096
2018-08-27,42.0,43.66630037514753,33.00420582204755,54.55353374144199
2018-09-03,43.0,40.948822432342524,29.866490356502016,52.388031783605996
2018-09-10,49.0,39.907915471763246,27.420696377935656,50.94460789366829
2018-09-17,45.0,41.246315910954124,30.08769364457462,51.82907816330497
2018-09-24,40.0,43.70162323222653,33.26296996904075,53.90469701609442
2018-10-01,48.0,45.42194982272717,34.492610758850596,56.67722217664228
2018-10-08,43.0,45.52466956551043,33.226296758878796,57.170672418755395
2018-10-15,46.0,44.397698588268455,33.54788912703054,55.824416029934795
2018-10-22,43.0,42.87551804593845,31.384725611943594,53.22501076603356
2018-10-29,44.0,41.491659443288455,30.236172952776883,52.59846819836808
2018-11-05,34.0,40.484386922702676,29.369195026270674,51.71962033369362
2018-11-12,46.0,40.05809098595537,28.50669432917935,51.90962923743144
2018-11-19,41.0,40.19199438117706,28.96298927732312,51.951501362106356
2018-11-26,38.0,40.22085497959129,28.636502247201502,51.64633357673969
2018-12-03,53.0,39.07348619637032,27.708672774707505,50.41385485982721
2018-12-10,34.0,36.36272192682711,25.141937387025077,47.36406408116436
2018-12-17,44.0,33.24384087471683,22.089331298310945,45.37543617612035
2018-12-24,39.0,31.824147148176955,20.340441608937855,43.87042528092365
2018-12-31,35.0,33.3660670054096,22.640371590861598,44.31265753019667
2019-01-07,38.0,37.00807360616783,25.114319891409153,47.64799636874469
2019-01-14,48.0,40.41843347164382,29.072953592922765,52.18827808672112
