Padecimiento,Estado,Sexo,MAPE_CV,RMSE_CV,MAE_CV,MAPE_Train,N_Outliers
Parkinson,Quintana Roo,Mujeres,57.21,1.13,0.8,46.0,0
Parkinson,San Luis Potosí,Hombres,59.97,1.58,1.27,47.25,0
Parkinson,San Luis Potosí,Mujeres,62.05,1.71,1.32,45.05,0
Parkinson,Sinaloa,Hombres,63.53,2.52,2.04,57.22,0
Parkinson,Sinaloa,Mujeres,69.02,2.5,2.03,63.12,0
Parkinson,Sonora,Hombres,65.23,1.69,1.34,54.42,0
Parkinson,Sonora,Mujeres,60.14,1.61,1.26,44.29,0
Parkinson,Tabasco,Hombres,52.63,1.55,1.23,41.92,0
Parkinson,Tabasco,Mujeres,47.32,1.3,1.01,43.45,0
Parkinson,Tamaulipas,Hombres,63.44,2.27,1.82,64.3,0
Parkinson,Tamaulipas,Mujeres,56.59,2.01,1.59,57.72,0
Parkinson,Tlaxcala,Hombres,41.97,0.93,0.75,47.37,0
Parkinson,Tlaxcala,Mujeres,48.28,0.97,0.74,49.75,0
Parkinson,Veracruz,Hombres,47.76,2.35,1.85,46.1,0
Parkinson,Veracruz,Mujeres,62.4,2.56,2.07,56.11,0
Parkinson,Yucatán,Hombres,49.21,1.31,0.97,38.25,0
Parkinson,Yucatán,Mujeres,49.67,1.28,0.96,39.07,0
Parkinson,Zacatecas,Hombres,57.65,0.76,0.61,60.06,0
Parkinson,Zacatecas,Mujeres,68.69,0.75,0.54,65.1,0
Alzheimer,Aguascalientes,Hombres,80.04,0.44,0.3,82.66,0
Alzheimer,Aguascalientes,Mujeres,66.24,0.57,0.47,71.76,0
Alzheimer,Baja California,Hombres,39.6,0.81,0.7,46.38,0
Alzheimer,Baja California,Mujeres,33.48,0.87,0.75,31.41,0
Alzheimer,Baja California Sur,Hombres,84.2,0.36,0.21,84.44,0
Alzheimer,Baja California Sur,Mujeres,87.88,0.37,0.22,83.97,0
Alzheimer,Campeche,Hombres,73.64,0.54,0.41,72.5,0
Alzheimer,Campeche,Mujeres,76.93,0.5,0.39,75.31,0
Alzheimer,Chiapas,Hombres,68.36,0.65,0.52,64.03,0
Alzheimer,Chiapas,Mujeres,52.75,0.71,0.62,53.81,0
Alzheimer,Chihuahua,Hombres,34.41,0.86,0.72,30.05,0
Alzheimer,Chihuahua,Mujeres,31.91,0.77,0.61,30.68,0
Alzheimer,Ciudad de México,Hombres,41.28,0.86,0.75,36.79,0
Alzheimer,Ciudad de México,Mujeres,34.12,0.9,0.71,31.11,0
Alzheimer,Coahuila,Hombres,57.8,0.81,0.67,52.33,0
Alzheimer,Coahuila,Mujeres,60.37,0.86,0.71,43.26,0
Alzheimer,Colima,Hombres,61.22,0.63,0.52,64.45,0
Alzheimer,Colima,Mujeres,48.51,0.81,0.68,51.91,0
Alzheimer,Durango,Hombres,61.28,0.67,0.56,63.58,0
Alzheimer,Durango,Mujeres,43.71,0.76,0.67,50.71,0
Alzheimer,Guanajuato,Hombres,54.44,0.67,0.6,64.92,0
Alzheimer,Guanajuato,Mujeres,40.6,0.79,0.68,44.27,0
Alzheimer,Guerrero,Hombres,68.96,0.54,0.4,70.99,0
Alzheimer,Guerrero,Mujeres,64.4,0.67,0.54,64.25,0
Alzheimer,Hidalgo,Hombres,65.51,0.53,0.45,72.1,0
Alzheimer,Hidalgo,Mujeres,56.87,0.69,0.59,63.08,0
Alzheimer,Jalisco,Hombres,31.42,0.85,0.66,31.31,0
Alzheimer,Jalisco,Mujeres,32.05,0.71,0.53,28.02,0
Alzheimer,Michoacán,Hombres,47.15,0.73,0.63,49.92,0
Alzheimer,Michoacán,Mujeres,38.3,0.84,0.72,40.04,0
Alzheimer,Morelos,Hombres,66.01,0.6,0.48,67.5,0
Alzheimer,Morelos,Mujeres,52.72,0.75,0.64,54.49,0
Alzheimer,México,Hombres,43.87,0.87,0.74,33.26,0
Alzheimer,México,Mujeres,36.11,0.9,0.79,34.34,0
Alzheimer,Nayarit,Hombres,56.5,0.72,0.6,57.53,0
Alzheimer,Nayarit,Mujeres,48.48,0.83,0.71,43.45,0
Alzheimer,Nuevo León,Hombres,34.79,0.85,0.72,31.86,0
Alzheimer,Nuevo León,Mujeres,34.59,0.85,0.73,31.52,0
Alzheimer,Oaxaca,Hombres,53.46,0.76,0.62,55.9,0
Alzheimer,Oaxaca,Mujeres,39.05,0.86,0.74,42.73,0
Alzheimer,Puebla,Hombres,62.25,0.62,0.51,70.74,0
Alzheimer,Puebla,Mujeres,52.1,0.68,0.59,60.12,0
Alzheimer,Querétaro,Hombres,79.69,0.47,0.34,81.86,0
Alzheimer,Querétaro,Mujeres,73.4,0.45,0.34,79.95,0
Alzheimer,Quintana Roo,Hombres,79.65,0.39,0.3,81.6,0
Alzheimer,Quintana Roo,Mujeres,80.57,0.51,0.37,75.04,0
