ds,y,yhat,yhat_lower,yhat_upper
2017-01-16,151.0,154.56859694225352,119.208746051267,188.22015603801003
2017-01-23,161.0,151.93812236124526,117.41875202063554,186.5446702556384
2017-01-30,162.0,147.03356152087056,112.92338023840489,181.03024672530756
2017-02-06,135.0,148.74880816315752,116.1152329698636,184.80133581848565
2017-02-13,166.0,157.04289564270243,121.39391166122209,192.33834075712485
2017-02-20,152.0,164.22801825773087,133.2372236599461,200.98537961537184
2017-02-27,134.0,163.98262606810496,127.91952801656552,196.9584153680899
2017-03-06,145.0,157.28821759241418,123.44229555999654,190.35926275010206
2017-03-13,181.0,150.008452162919,117.06229068379817,182.25509398596725
2017-03-20,124.0,146.42394003871885,112.51310887460441,181.4383217987155
2017-03-27,188.0,146.20669151432298,113.34895176723849,181.76594464798828
2017-04-03,142.0,146.81359982376497,113.75092459844024,177.10295166204008
2017-04-10,107.0,147.03332050736543,112.74499003412514,179.85343799490926
2017-04-17,148.0,147.56399691746174,115.01196748998717,184.48279600114552
2017-04-24,157.0,149.21831508312965,116.07400180638707,184.77422084472556
2017-05-01,127.0,151.85074764779398,117.7449858760757,185.4947531110564
2017-05-08,128.0,154.9420382688946,120.19351962626634,189.55155071006203
2017-05-15,166.0,158.09351838870822,122.95743520680466,192.2957925286903
2017-05-22,138.0,160.4536510593794,125.93825356760536,193.45737215143728
2017-05-29,156.0,160.5572699110784,126.5671534193608,194.64200337654722
2017-06-05,174.0,157.85253425480855,125.51302766410316,191.42552565802694
2017-06-12,166.0,154.23333180168703,118.17994919355665,190.14208941174064
2017-06-19,154.0,152.80730939261795,117.1156028999876,185.83023715255388
2017-06-26,152.0,154.32091573889468,120.32788611525797,186.55642412860288
2017-07-03,136.0,155.93280841497946,122.25292060526556,190.88365034866004
2017-07-10,139.0,154.07408040992934,118.29328980061686,190.54295683760657
2017-07-17,129.0,149.2714931295954,113.08637411460762,183.1279546443739
2017-07-24,143.0,146.50246176220145,111.71165517062089,180.70732081383395
2017-07-31,160.0,149.8355473970629,115.3281732058698,183.38636255285093
2017-08-07,164.0,157.1645566678408,122.71238385779947,191.44495840844002
2017-08-14,174.0,161.5619162053334,127.82549005184904,194.86399052566722
2017-08-21,155.0,158.3814025600967,125.028458107154,193.5708601811434
2017-08-28,130.0,150.26686600058702,115.21996377225061,182.75709943112807
