disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
alzheimer,Alzheimer,neuro,Guanajuato,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Guerrero,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Guerrero,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Guerrero,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Hidalgo,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Hidalgo,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Hidalgo,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Jalisco,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Jalisco,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Jalisco,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Michoacán,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Michoacán,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Michoacán,general,Stacking,tabla_333
alzheimer,Alzheimer,neuro,Morelos,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Morelos,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Morelos,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,México,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,México,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,México,general,Stacking,tabla_333
alzheimer,Alzheimer,neuro,Nayarit,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Nayarit,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Nayarit,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Nuevo León,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Nuevo León,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Nuevo León,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Oaxaca,hombres,Prophet,tabla_333
