padecimiento,entidad,sexo,anio_eval,n_semanas_real,total_real,smape_real_prophet,mae_real_prophet,mase_real_prophet,cv_smape_prophet,smape_real_deepar,mae_real_deepar,mase_real_deepar,cv_smape_deepar,smape_real_ensemble,mae_real_ensemble,mase_real_ensemble,cv_smape_ensemble,smape_real_stacking,mae_real_stacking,mase_real_stacking,cv_smape_stacking,smape_real_nbglm,mae_real_nbglm,mase_real_nbglm,cv_smape_nbglm,motor_productivo,criterio_seleccion,smape_ganador,justificacion
Dengue,Durango,mujeres,2026,32,1.0,197.64380840403456,0.1358944622021244,0.020387354854514678,194.24668144594537,199.91744014567197,0.037172283142105425,0.0055767138328521966,109.76355138252174,200.0,1.390625,0.2086263478668542,199.0633013569061,200.0,1.390625,0.2086263478668542,199.91960660311733,199.99999999381407,0.16028220887302916,0.024046088532287544,194.1597056483905,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 1 casos), menor MAE real"
Dengue,Guanajuato,general,2026,32,82.0,117.2609403466935,1.3473304254739709,0.06026638749673898,164.67484908277842,142.2304483574256,2.3745051575592044,0.10621214012006507,109.60971121653304,158.89587506334777,29.015625,1.2978753145093653,170.26788633432116,158.89587506334777,29.015625,1.2978753145093653,195.37616402131636,152.11290956616259,49.67891240947901,2.222148723935321,173.39597837875306,Prophet,smape_real,117.2609403466935,Prophet: menor SMAPE real=117.26% sobre 32 sem
Dengue,Guanajuato,hombres,2026,32,35.0,117.02305886501372,0.5792190093625738,0.0319624216237323,170.40286967304834,167.53799519103706,3.7934602159480315,0.20933044819854632,79.54507935933471,178.7263051637108,12.0,0.6621831350232799,180.7526372107734,178.7263051637108,12.0,0.6621831350232799,196.5601753860276,171.08009120570276,8.161226949062694,0.4503522372305677,182.3083787234438,Prophet,smape_real,117.02305886501372,Prophet: menor SMAPE real=117.02% sobre 32 sem
Dengue,Guanajuato,mujeres,2026,32,47.0,129.16020832184404,1.0365366369755442,0.047870071270338314,169.6571057340244,171.46063039978134,22.869476393732178,1.0561744040978924,109.76355138252174,165.6153690231507,17.421875,0.804589406840814,184.4689912561869,165.6153690231507,17.421875,0.804589406840814,195.2398047728465,157.34976844233478,19.23659843186786,0.8883982534561575,176.72436864713447,Prophet,smape_real,129.16020832184404,Prophet: menor SMAPE real=129.16% sobre 32 sem
Dengue,Guerrero,general,2026,32,23.0,132.69331873943653,0.6359314608406307,0.010638196846097642,48.55849570822402,141.80132517174047,3.8512101392377227,0.06442507420963309,109.60971121653304,191.57813526018086,33.59212094798215,0.5619467145880228,189.00705220241775,197.93791219017294,167.26467118323993,2.798091629391854,185.85314917016197,151.66161734130134,10.546611640610795,0.1764292814572353,110.55291013656748,Prophet,smape_real,132.69331873943653,Prophet: menor SMAPE real=132.69% sobre 32 sem
Dengue,Guerrero,hombres,2026,32,12.0,169.77205618605106,0.4317276641208993,0.010919447717253223,58.86670393327421,170.4776304723652,2.165813951993467,0.05477872784049237,79.54507935933471,187.66792741975027,10.810522057693635,0.273424522483557,185.61712221782176,197.74921460216453,81.73894976651377,2.0673777999750556,187.29103065931693,168.9182248715372,6.07637294579545,0.15368632174000504,118.81534646442265,Prophet,smape_real,169.77205618605106,Prophet: menor SMAPE real=169.77% sobre 32 sem
Dengue,Guerrero,mujeres,2026,32,11.0,163.3113852606931,0.4645532478996838,0.011081404347961149,60.32903496111531,173.5795493207705,2.34427299960588,0.055920041734914765,109.76355138252174,186.8355206782766,10.97614870862924,0.261823897634093,181.14628483595848,198.09332930741346,87.28074785650358,2.0819857856191684,185.3862117422507,165.6511166098396,5.497411848994725,0.13113468443371687,110.88384002807868,Prophet,smape_real,163.3113852606931,Prophet: menor SMAPE real=163.31% sobre 32 sem
Dengue,Hidalgo,general,2026,32,10.0,180.46493905788367,0.6530102236952079,0.0363793996487581,164.4263244057969,187.46274653821473,1.890527785990071,0.10532188222785911,109.60971121653304,188.6837906694766,27.53125,1.533774373259053,190.3086393348001,188.6837906694766,27.53125,1.533774373259053,199.03627090930203,186.90947586941093,6.800053487843204,0.37883306338959355,129.29202323988372,Prophet,smape_real,180.46493905788367,Prophet: menor SMAPE real=180.46% sobre 32 sem
Dengue,Hidalgo,hombres,2026,32,3.0,199.11643476879902,0.17719985958230883,0.009620623526694745,170.20417021918615,199.09168680478737,0.11460915958079466,0.006222417893765574,79.54507935933471,189.24002186987423,11.90625,0.6464200882253139,190.9487472471646,189.24002186987423,11.90625,0.6464200882253139,199.04676383121017,195.80011873161004,1.8798976551403346,0.10206434503646201,146.152525200624,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 3 casos), menor MAE real"
Dengue,Hidalgo,mujeres,2026,32,7.0,190.992014377814,0.3580378953758061,0.013783942074140755,165.7522199768573,193.89392728737528,0.24651881284208907,0.00949061839623057,109.76355138252174,190.50940653795524,15.90625,0.6123676612127045,189.65763289740175,190.50940653795524,15.90625,0.6123676612127045,198.942356787496,189.22147835283977,3.3285797162416757,0.12814551361854382,124.20024929056018,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 7 casos), menor MAE real"
Dengue,Jalisco,general,2026,32,145.0,73.97942797267486,2.5642166244197586,0.012948341036346636,127.4617865350128,82.6844374440045,4.327159565188543,0.021850547740454366,109.60971121653304,185.580754576068,183.0625,0.9243975951144845,183.15861039635817,185.580754576068,183.0625,0.9243975951144845,198.88250727520372,86.41224974787254,12.0767995003465,0.06098334948337378,124.78886208182988,Prophet,smape_real,73.97942797267486,Prophet: menor SMAPE real=73.98% sobre 32 sem
Dengue,Jalisco,hombres,2026,32,70.0,93.55454584497669,1.4570877697655735,0.01500026014428592,139.53719444730962,156.41227921518342,2.037016177010556,0.02097044063323182,79.54507935933471,183.9459105198269,73.95324624959355,0.7613254021319629,178.6003071053324,183.99478140829535,79.46875,0.8181057778921631,198.68035216675807,94.97570837545362,3.8530294308900492,0.03966572570727113,125.9010082864909,Prophet,smape_real,93.55454584497669,Prophet: menor SMAPE real=93.55% sobre 32 sem
Dengue,Jalisco,mujeres,2026,32,75.0,80.56609614743942,1.4955244920279616,0.011229505536498293,137.82695045569858,134.7096573919788,1.959261437128033,0.014711585984019771,109.76355138252174,187.7797061309884,99.22426670367474,0.7450492842099613,183.3878591635464,187.7997804715835,104.625,0.7856019898162705,198.96312464331456,96.13725845231659,7.9518229629803505,0.059708176271293434,126.61603965046994,Prophet,smape_real,80.56609614743942,Prophet: menor SMAPE real=80.57% sobre 32 sem
