padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Alzheimer,incrementos_mujeres,0.7194493986087631,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Morelos_mujeres_20260218.pkl,Morelos
Alzheimer,incrementos_total,0.9846928821045333,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Morelos_general_20260218.pkl,Morelos
Alzheimer,incrementos_hombres,1.4228167453832101,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Mexico_hombres_20260218.pkl,México
Alzheimer,incrementos_mujeres,1.6353935929232704,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Mexico_mujeres_20260218.pkl,México
Alzheimer,incrementos_total,2.6003148599800316,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Mexico_general_20260218.pkl,México
Alzheimer,incrementos_hombres,0.5950075903915963,multiplicative,0.05,1.0,regional,Prophet_Alzheimer_Nayarit_hombres_20260218.pkl,Nayarit
Alzheimer,incrementos_mujeres,0.7952704723305422,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Nayarit_mujeres_20260218.pkl,Nayarit
Alzheimer,incrementos_total,1.001606077350769,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Nayarit_general_20260218.pkl,Nayarit
Alzheimer,incrementos_hombres,0.9161205539257239,multiplicative,0.1,1.0,regional,Prophet_Alzheimer_Nuevo_Leon_hombres_20260218.pkl,Nuevo León
Alzheimer,incrementos_mujeres,1.270459833757386,multiplicative,0.05,5.0,regional,Prophet_Alzheimer_Nuevo_Leon_mujeres_20260218.pkl,Nuevo León
Alzheimer,incrementos_total,1.6528196357733413,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Nuevo_Leon_general_20260218.pkl,Nuevo León
Alzheimer,incrementos_hombres,0.7831608416249988,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Oaxaca_hombres_20260218.pkl,Oaxaca
Alzheimer,incrementos_mujeres,1.0263487086172631,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Oaxaca_mujeres_20260218.pkl,Oaxaca
Alzheimer,incrementos_total,1.353256145712304,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Oaxaca_general_20260218.pkl,Oaxaca
Alzheimer,incrementos_hombres,0.9891469369366888,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Puebla_hombres_20260218.pkl,Puebla
Alzheimer,incrementos_mujeres,1.4410171134427572,additive,0.01,5.0,regional,Prophet_Alzheimer_Puebla_mujeres_20260218.pkl,Puebla
Alzheimer,incrementos_total,1.9891471017746754,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Puebla_general_20260218.pkl,Puebla
Alzheimer,incrementos_hombres,0.3803919200102882,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Queretaro_hombres_20260218.pkl,Querétaro
Alzheimer,incrementos_mujeres,0.39950279811934664,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Queretaro_mujeres_20260218.pkl,Querétaro
Alzheimer,incrementos_total,0.5548869671961939,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Queretaro_general_20260218.pkl,Querétaro
Alzheimer,incrementos_hombres,0.35869589530014095,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Quintana_Roo_hombres_20260218.pkl,Quintana Roo
Alzheimer,incrementos_mujeres,0.4886086663570197,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Quintana_Roo_mujeres_20260218.pkl,Quintana Roo
Alzheimer,incrementos_total,0.6202079154220805,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Quintana_Roo_general_20260218.pkl,Quintana Roo
Alzheimer,incrementos_hombres,0.5805263360483257,additive,0.01,0.1,regional,Prophet_Alzheimer_San_Luis_Potosi_hombres_20260218.pkl,San Luis Potosí
Alzheimer,incrementos_mujeres,0.862968823910475,additive,0.01,5.0,regional,Prophet_Alzheimer_San_Luis_Potosi_mujeres_20260218.pkl,San Luis Potosí
Alzheimer,incrementos_total,1.0489794813226085,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_San_Luis_Potosi_general_20260218.pkl,San Luis Potosí
Alzheimer,incrementos_hombres,1.2614648290172896,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Sinaloa_hombres_20260218.pkl,Sinaloa
Alzheimer,incrementos_mujeres,1.4800569326985467,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Sinaloa_mujeres_20260218.pkl,Sinaloa
Alzheimer,incrementos_total,2.1799588033300665,additive,0.01,5.0,regional,Prophet_Alzheimer_Sinaloa_general_20260218.pkl,Sinaloa
Alzheimer,incrementos_hombres,0.8178212474316876,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Sonora_hombres_20260218.pkl,Sonora
Alzheimer,incrementos_mujeres,1.0396540023552565,multiplicative,0.05,0.1,regional,Prophet_Alzheimer_Sonora_mujeres_20260218.pkl,Sonora
Alzheimer,incrementos_total,1.340833689053972,additive,0.05,5.0,regional,Prophet_Alzheimer_Sonora_general_20260218.pkl,Sonora
Alzheimer,incrementos_hombres,0.7321978088494306,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Tabasco_hombres_20260218.pkl,Tabasco
Alzheimer,incrementos_mujeres,0.7752039894993844,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Tabasco_mujeres_20260218.pkl,Tabasco
Alzheimer,incrementos_total,1.16629142400252,additive,0.01,1.0,regional,Prophet_Alzheimer_Tabasco_general_20260218.pkl,Tabasco
Alzheimer,incrementos_hombres,1.0497375642840323,multiplicative,0.1,0.1,regional,Prophet_Alzheimer_Tamaulipas_hombres_20260218.pkl,Tamaulipas
Alzheimer,incrementos_mujeres,1.6521992813284962,additive,0.01,5.0,regional,Prophet_Alzheimer_Tamaulipas_mujeres_20260218.pkl,Tamaulipas
Alzheimer,incrementos_total,2.070432751054983,multiplicative,0.1,0.1,regional,Prophet_Alzheimer_Tamaulipas_general_20260218.pkl,Tamaulipas
Alzheimer,incrementos_hombres,0.28855099786751337,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Tlaxcala_hombres_20260218.pkl,Tlaxcala
Alzheimer,incrementos_mujeres,0.30640141337264953,multiplicative,0.1,1.0,regional,Prophet_Alzheimer_Tlaxcala_mujeres_20260218.pkl,Tlaxcala
Alzheimer,incrementos_total,0.43665687367916095,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Tlaxcala_general_20260218.pkl,Tlaxcala
Alzheimer,incrementos_hombres,1.1625488349969748,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Veracruz_hombres_20260218.pkl,Veracruz
Alzheimer,incrementos_mujeres,1.568526896263323,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Veracruz_mujeres_20260218.pkl,Veracruz
Alzheimer,incrementos_total,2.2174050176940723,additive,0.01,5.0,regional,Prophet_Alzheimer_Veracruz_general_20260218.pkl,Veracruz
Alzheimer,incrementos_hombres,0.5728975949421224,additive,0.01,0.1,regional,Prophet_Alzheimer_Yucatan_hombres_20260218.pkl,Yucatán
Alzheimer,incrementos_mujeres,0.8478192374551305,multiplicative,0.1,0.1,regional,Prophet_Alzheimer_Yucatan_mujeres_20260218.pkl,Yucatán
Alzheimer,incrementos_total,1.0562166150607357,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Yucatan_general_20260218.pkl,Yucatán
Alzheimer,incrementos_hombres,0.2988979875645764,multiplicative,0.1,5.0,regional,Prophet_Alzheimer_Zacatecas_hombres_20260218.pkl,Zacatecas
Alzheimer,incrementos_mujeres,0.3890803823240719,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Zacatecas_mujeres_20260218.pkl,Zacatecas
Alzheimer,incrementos_total,0.5123979271074143,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Zacatecas_general_20260218.pkl,Zacatecas
